Marca de Tiempo,Uso de Memoria (%)
10:28:45,51.5
10:28:46,51.5
10:28:47,51.6
10:28:48,51.5
10:28:49,51.4
10:28:50,51.4
10:28:51,51.5
10:28:52,51.4
10:28:53,49.9
10:28:54,49.8
10:28:55,49.8
10:28:56,49.7
10:28:57,49.8
10:28:58,49.7
10:28:59,49.7
10:29:00,49.8
10:29:01,49.8
10:29:02,49.7
10:29:03,49.7
10:29:04,49.7
10:29:05,49.7
10:29:06,49.7
10:29:07,49.8
10:29:08,49.8
10:29:09,49.8
10:29:10,49.8
10:29:11,49.9
10:29:12,49.9
10:29:13,50.0
10:29:14,50.1
10:29:15,50.5
10:29:16,50.5
10:29:17,50.4
10:29:18,50.4
10:29:19,50.4
10:29:20,50.4
10:29:21,50.4
10:29:22,50.6
10:29:23,50.5
10:29:24,50.4
10:29:25,50.4
10:29:26,50.4
10:29:27,50.4
10:29:28,50.3
10:29:29,50.3
10:29:30,50.3
10:29:31,50.3
10:29:32,50.3
10:29:33,50.2
10:29:34,50.2
10:29:36,50.3
10:29:37,50.3
10:29:38,50.3
10:29:39,50.4
10:29:40,50.4
10:29:41,50.4
10:29:42,50.8
10:29:43,50.8
10:29:44,50.7
10:29:45,50.8
10:29:46,50.8
10:29:47,50.7
10:29:48,50.7
10:29:49,50.6
10:29:50,50.8
10:29:51,50.6
10:29:52,50.6
10:29:53,50.6
10:29:54,50.6
10:29:55,50.5
10:29:56,50.5
10:29:57,50.5
10:29:58,50.5
10:29:59,50.5
10:30:00,50.5
10:30:01,50.9
10:30:02,50.9
10:30:03,50.9
10:30:04,51.0
10:30:05,50.9
10:30:06,50.8
10:30:07,50.7
10:30:08,50.6
10:30:09,50.7
10:30:10,50.7
10:30:11,50.7
10:30:12,50.7
10:30:13,50.7
10:30:14,50.6
10:30:15,50.6
10:30:16,50.6
10:30:17,50.6
10:30:18,50.6
10:30:19,50.6
10:30:20,50.6
10:30:21,50.6
10:30:22,50.6
10:30:23,50.6
10:30:24,50.6
10:30:25,50.6
10:30:26,50.6
10:30:27,50.5
10:30:28,50.5
10:30:29,50.5
10:30:30,50.7
10:30:31,50.6
10:30:32,50.9
10:30:33,50.8
10:30:34,51.0
10:30:35,50.9
10:30:36,51.0
10:30:37,51.0
10:30:38,51.0
10:30:39,51.0
10:30:40,51.0
10:30:41,50.9
